combo,mho_f1,best_other_f1,margin,best_strategy
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Modbus.csv",0.30678466076696165,0.16091954022988506,0.1458651205370766,mho
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.21983914209115282,0.08333333333333333,0.13650580875781948,mho
"IoT_Fridge.csv,IoT_Weather.csv,IoT_Modbus.csv",0.28716216216216217,0.1746031746031746,0.11255898755898758,mho
"IoT_Thermostat.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.30357142857142855,0.25301204819277107,0.05055938037865748,mho
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_Modbus.csv",0.2692307692307692,0.22115384615384615,0.04807692307692307,mho
"IoT_Motion_Light.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.27312775330396477,0.22641509433962265,0.046712658964342124,mho
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_Modbus.csv",0.29577464788732394,0.26046511627906976,0.035309531608254174,mho
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.23076923076923078,0.19808306709265175,0.03268616367657903,mho
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Weather.csv",0.23340040241448692,0.20168067226890757,0.031719730145579356,mho
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.28438228438228436,0.25757575757575757,0.026806526806526787,mho
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.24959481361426256,0.2315270935960591,0.018067720018203448,mho
"IoT_Motion_Light.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.26006191950464397,0.25210084033613445,0.007961079168509522,mho
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Weather.csv",0.2996941896024465,0.2968197879858657,0.0028744016165807573,mho
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.3511450381679389,0.3511450381679389,0.0,mho
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",0.359375,0.359375,0.0,mho
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.36303630363036304,0.367816091954023,-0.004779788323659939,clustered
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Modbus.csv",0.3829787234042553,0.3888888888888889,-0.005910165484633578,all
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_GPS_Tracker.csv",0.3448275862068966,0.3511450381679389,-0.006317451961042331,greedy
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",0.35294117647058826,0.359375,-0.006433823529411742,greedy
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.3511450381679389,0.35807860262008734,-0.006933564452148433,random
"IoT_Fridge.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.24091778202676864,0.25210084033613445,-0.011183058309365806,clustered
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_Modbus.csv",0.3277310924369748,0.34594594594594597,-0.018214853508971174,greedy
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Modbus.csv",0.296,0.3150684931506849,-0.01906849315068493,greedy
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",0.22393822393822393,0.24372759856630824,-0.019789374628084305,random
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.22535211267605634,0.254957507082153,-0.029605394406096636,random
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",0.2085889570552147,0.2410958904109589,-0.0325069333557442,random
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Thermostat.csv",0.3127035830618892,0.35658914728682173,-0.043885564224932505,greedy
"IoT_Fridge.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.2871287128712871,0.33183856502242154,-0.04470985215113443,random
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Weather.csv",0.3007518796992481,0.3511450381679389,-0.0503931584686908,greedy
"IoT_Garage_Door.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.3663003663003663,0.42066420664206644,-0.054363840341700165,random
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.1935483870967742,0.2564102564102564,-0.0628618693134822,random
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.29765013054830286,0.36879432624113473,-0.07114419569283187,clustered
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Motion_Light.csv",0.29280397022332505,0.375,-0.08219602977667495,random
"IoT_Weather.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.23788546255506607,0.33725490196078434,-0.09936943940571827,random
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.17582417582417584,0.2966507177033493,-0.12082654187917344,random
