combo,mho_f1,all_f1,delta,mho_acc,all_acc
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Weather.csv",0.3469387755102041,0.029850746268656716,0.3170880292415474,0.7155555555555555,0.8555555555555555
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Modbus.csv",0.27450980392156865,0.0,0.27450980392156865,0.6711111111111111,0.8355555555555556
"IoT_Thermostat.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.2519280205655527,0.0,0.2519280205655527,0.35333333333333333,0.8355555555555556
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.21971830985915494,0.0,0.21971830985915494,0.3844444444444444,0.8666666666666667
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_GPS_Tracker.csv",0.352,0.1774193548387097,0.1745806451612903,0.82,0.7733333333333333
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Weather.csv",0.26200873362445415,0.10526315789473684,0.1567455757297173,0.6244444444444445,0.7733333333333333
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Thermostat.csv",0.33620689655172414,0.2484472049689441,0.08775969158278005,0.6577777777777778,0.19333333333333333
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_GPS_Tracker.csv",0.35185185185185186,0.26785714285714285,0.08399470899470901,0.8444444444444444,0.8177777777777778
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Weather.csv",0.24888888888888888,0.18181818181818182,0.06707070707070706,0.24888888888888888,0.76
"IoT_Fridge.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.22602739726027396,0.16267942583732056,0.0633479714229534,0.49777777777777776,0.6111111111111112
"IoT_Garage_Door.csv,IoT_Weather.csv,IoT_Modbus.csv",0.352,0.2975206611570248,0.05447933884297518,0.46,0.8111111111111111
"IoT_Fridge.csv,IoT_Weather.csv,IoT_GPS_Tracker.csv",0.2561576354679803,0.23529411764705882,0.020863517820921496,0.3288888888888889,0.3933333333333333
"IoT_Fridge.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.06666666666666667,0.0547945205479452,0.011872146118721463,0.8133333333333334,0.6933333333333334
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_Modbus.csv",0.3804347826086957,0.3724137931034483,0.008020989505247378,0.7466666666666667,0.7977777777777778
"IoT_Thermostat.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.2807017543859649,0.27979274611398963,0.0009090082719752646,0.3622222222222222,0.38222222222222224
"IoT_Garage_Door.csv,IoT_Thermostat.csv,IoT_GPS_Tracker.csv",0.0,0.0,0.0,0.8711111111111111,0.8711111111111111
"IoT_Fridge.csv,IoT_Thermostat.csv,IoT_Motion_Light.csv",0.176,0.1792452830188679,-0.0032452830188679227,0.7711111111111111,0.6133333333333333
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Motion_Light.csv",0.3026315789473684,0.3125,-0.009868421052631582,0.7644444444444445,0.6577777777777778
"IoT_Thermostat.csv,IoT_Modbus.csv,IoT_GPS_Tracker.csv",0.25098039215686274,0.2639593908629442,-0.012978998706081435,0.5755555555555556,0.35555555555555557
"IoT_Fridge.csv,IoT_Weather.csv,IoT_Modbus.csv",0.25958702064896755,0.27586206896551724,-0.01627504831654969,0.44222222222222224,0.4866666666666667
"IoT_Garage_Door.csv,IoT_Motion_Light.csv,IoT_Modbus.csv",0.14035087719298245,0.16071428571428573,-0.020363408521303278,0.7822222222222223,0.7911111111111111
"IoT_Fridge.csv,IoT_Garage_Door.csv,IoT_Modbus.csv",0.32934131736526945,0.3612040133779264,-0.031862696012656955,0.5022222222222222,0.5755555555555556
