round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size
1,mho,0.8377777777777777,0.34626865671641793,0.705956933821084,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,0.050505050505050504,0.3333333333333333,1.0,10.0
2,mho,0.802962962962963,0.3282828282828283,0.7037883826626761,0.4595906868946313,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,0.3463035019455253,0.5691668008146862,1.0,10.0
3,mho,0.7274074074074074,0.3235294117647059,0.7071509071425931,0.5611626368268496,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,0.35804701627486435,0.758987615155435,1.0,5.0
4,mho,0.837037037037037,0.35294117647058826,0.7115896242101762,0.40356044641424427,1.0,3,IoT_Fridge.csv;IoT_Weather.csv;IoT_Garage_Door.csv,0.38345864661654133,0.616356034506995,1.0,1.0
5,mho,0.7466666666666667,0.32941176470588235,0.7192338247792187,0.5596595129810951,1.0,3,IoT_Garage_Door.csv;IoT_Fridge.csv;IoT_Weather.csv,0.383399209486166,0.6134965541590952,1.0,2.0
1,random,0.8377777777777777,0.34626865671641793,0.7255893655544471,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,,,,
2,random,0.8303703703703704,0.35492957746478876,0.717949783837712,0.4718531554699038,1.0,3,IoT_Garage_Door.csv;IoT_Fridge.csv;IoT_Weather.csv,,,,
3,random,0.8222222222222222,0.34782608695652173,0.7162084765177549,0.47633957256150555,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
4,random,0.7955555555555556,0.3300970873786408,0.7145503085393342,0.493919945971327,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,,,,
5,random,0.802962962962963,0.3415841584158416,0.7156726896500758,0.5166582364202024,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
1,greedy,0.8118518518518518,0.32085561497326204,0.6877447991723017,0.38021423763621826,1.0,3,IoT_Garage_Door.csv;IoT_Weather.csv;IoT_Fridge.csv,,,,
2,greedy,0.8377777777777777,0.34626865671641793,0.6874376454938476,0.33333333333333337,1.0,3,IoT_Garage_Door.csv;IoT_Weather.csv;IoT_Fridge.csv,,,,
3,greedy,0.8088888888888889,0.3316062176165803,0.68962698148764,0.45528882384650393,1.0,3,IoT_Garage_Door.csv;IoT_Weather.csv;IoT_Fridge.csv,,,,
4,greedy,0.7962962962962963,0.3309002433090024,0.6894560839522597,0.4949382372062785,1.0,3,IoT_Garage_Door.csv;IoT_Weather.csv;IoT_Fridge.csv,,,,
5,greedy,0.7881481481481482,0.3286384976525822,0.6915391863429774,0.5063864099130206,1.0,3,IoT_Garage_Door.csv;IoT_Weather.csv;IoT_Fridge.csv,,,,
1,clustered,0.8377777777777777,0.34626865671641793,0.715506410967003,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
2,clustered,0.8377777777777777,0.34626865671641793,0.7157419724346895,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
3,clustered,0.8377777777777777,0.34626865671641793,0.7196864723053615,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
4,clustered,0.8377777777777777,0.34626865671641793,0.720975132099176,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
5,clustered,0.8377777777777777,0.34626865671641793,0.7244346524775525,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
1,all,0.8377777777777777,0.34626865671641793,0.698679932010494,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,,,,
2,all,0.8377777777777777,0.34626865671641793,0.7038299523334441,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,,,,
3,all,0.8385185185185186,0.35502958579881655,0.7037745261057533,0.40567055442500166,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,,,,
4,all,0.8340740740740741,0.3563218390804598,0.702375013856557,0.4557930290384314,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,,,,
5,all,0.822962962962963,0.34877384196185285,0.7168551158408158,0.47771159341362024,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv,,,,
